Dataset,CAT,ELN,ENS,KNN,LBM,LR,MLP,RF,SVR,XGB
C2X-Complex_rhow_15x15_depth_in_1_2,0.996 ± 0.004,0.705 ± 0.035,0.947 ± 0.011,1.000 ± 0.000,0.990 ± 0.007,0.694 ± 0.070,0.807 ± 0.087,0.958 ± 0.027,0.839 ± 0.026,0.989 ± 0.013
C2X-Complex_rhow_9x9_depth_in_1_2,0.991 ± 0.011,0.694 ± 0.034,0.941 ± 0.011,1.000 ± 0.000,0.988 ± 0.007,0.690 ± 0.053,0.751 ± 0.132,0.956 ± 0.026,0.848 ± 0.027,0.987 ± 0.015
C2X-Complex_rhow_5x5_depth_in_1_2,0.995 ± 0.007,0.646 ± 0.060,0.940 ± 0.013,1.000 ± 0.000,0.988 ± 0.008,0.621 ± 0.058,0.772 ± 0.119,0.955 ± 0.044,0.866 ± 0.030,0.979 ± 0.071
C2RCC_rhown_3x3_depth_in_1_2,0.992 ± 0.008,0.636 ± 0.030,0.930 ± 0.015,1.000 ± 0.000,0.981 ± 0.010,0.629 ± 0.077,0.821 ± 0.075,0.932 ± 0.049,0.812 ± 0.031,0.948 ± 0.111
C2X-Complex_rhow_3x3_depth_in_1_2,0.990 ± 0.009,0.676 ± 0.052,0.931 ± 0.016,1.000 ± 0.000,0.987 ± 0.009,0.646 ± 0.064,0.775 ± 0.097,0.934 ± 0.060,0.824 ± 0.037,0.948 ± 0.107
C2X-Complex_rhown_5x5_depth_in_1_2,0.995 ± 0.007,0.639 ± 0.046,0.936 ± 0.015,1.000 ± 0.000,0.987 ± 0.008,0.628 ± 0.067,0.798 ± 0.090,0.950 ± 0.046,0.836 ± 0.044,0.960 ± 0.106
C2X-Complex_rhown_9x9_depth_in_1_2,0.996 ± 0.006,0.686 ± 0.030,0.941 ± 0.011,1.000 ± 0.000,0.986 ± 0.006,0.694 ± 0.062,0.805 ± 0.104,0.941 ± 0.033,0.847 ± 0.028,0.976 ± 0.056
C2X-Complex_rhown_3x3_depth_in_1_2,0.997 ± 0.005,0.647 ± 0.046,0.931 ± 0.015,1.000 ± 0.000,0.988 ± 0.007,0.619 ± 0.053,0.789 ± 0.094,0.942 ± 0.059,0.791 ± 0.042,0.951 ± 0.115
C2X_rhow_5x5_depth_in_1_2,0.988 ± 0.010,0.700 ± 0.030,0.925 ± 0.015,1.000 ± 0.000,0.982 ± 0.008,0.735 ± 0.062,0.737 ± 0.108,0.934 ± 0.042,0.797 ± 0.035,0.908 ± 0.145
C2X_rhow_3x3_depth_in_1_2,0.984 ± 0.012,0.704 ± 0.026,0.912 ± 0.019,1.000 ± 0.000,0.981 ± 0.008,0.697 ± 0.055,0.712 ± 0.103,0.906 ± 0.046,0.748 ± 0.042,0.893 ± 0.156
