Dataset,CAT,ELN,ENS,KNN,LBM,LR,MLP,RF,SVR,XGB
TOA_15x15_depth_in_2_3,0.054 ± 0.026,0.535 ± 0.013,0.233 ± 0.014,0.007 ± 0.001,0.124 ± 0.049,0.517 ± 0.023,0.355 ± 0.065,0.149 ± 0.036,0.363 ± 0.018,0.105 ± 0.058
TOA_9x9_depth_in_2_3,0.048 ± 0.025,0.535 ± 0.014,0.234 ± 0.013,0.007 ± 0.001,0.132 ± 0.051,0.522 ± 0.012,0.354 ± 0.056,0.151 ± 0.034,0.367 ± 0.018,0.108 ± 0.060
TOA_5x5_depth_in_2_3,0.050 ± 0.029,0.532 ± 0.013,0.231 ± 0.013,0.007 ± 0.001,0.125 ± 0.053,0.505 ± 0.009,0.349 ± 0.062,0.160 ± 0.038,0.374 ± 0.019,0.104 ± 0.061
TOA_3x3_depth_in_2_3,0.056 ± 0.032,0.542 ± 0.015,0.240 ± 0.013,0.007 ± 0.001,0.122 ± 0.051,0.519 ± 0.019,0.373 ± 0.070,0.163 ± 0.036,0.383 ± 0.018,0.103 ± 0.065
C2RCC_rhown_5x5_depth_in_2_3,0.123 ± 0.050,0.469 ± 0.008,0.260 ± 0.014,0.007 ± 0.001,0.197 ± 0.039,0.466 ± 0.025,0.400 ± 0.037,0.241 ± 0.050,0.370 ± 0.014,0.170 ± 0.058
C2X_rhow_9x9_depth_in_2_3,0.189 ± 0.060,0.468 ± 0.010,0.281 ± 0.016,0.028 ± 0.005,0.217 ± 0.033,0.489 ± 0.018,0.405 ± 0.057,0.275 ± 0.046,0.354 ± 0.014,0.214 ± 0.066
C2X-Complex_rhown_9x9_depth_in_2_3,0.119 ± 0.072,0.480 ± 0.012,0.269 ± 0.019,0.007 ± 0.001,0.195 ± 0.042,0.489 ± 0.019,0.403 ± 0.054,0.233 ± 0.068,0.347 ± 0.019,0.200 ± 0.065
C2X-Complex_rhow_5x5_depth_in_2_3,0.103 ± 0.061,0.490 ± 0.014,0.266 ± 0.019,0.007 ± 0.001,0.163 ± 0.061,0.505 ± 0.021,0.417 ± 0.060,0.243 ± 0.067,0.344 ± 0.023,0.165 ± 0.085
C2X-Complex_rhown_5x5_depth_in_2_3,0.135 ± 0.076,0.493 ± 0.012,0.280 ± 0.017,0.007 ± 0.001,0.200 ± 0.042,0.502 ± 0.017,0.421 ± 0.052,0.262 ± 0.065,0.357 ± 0.024,0.205 ± 0.069
C2RCC_rhow_3x3_depth_in_2_3,0.129 ± 0.067,0.492 ± 0.009,0.277 ± 0.016,0.007 ± 0.001,0.213 ± 0.042,0.503 ± 0.024,0.403 ± 0.043,0.263 ± 0.049,0.375 ± 0.012,0.210 ± 0.063
