Dataset,CAT,ELN,ENS,KNN,LBM,LR,MLP,RF,SVR,XGB
TOA_15x15_depth_in_0_1,0.108 ± 0.057,2.488 ± 0.086,0.964 ± 0.102,0.014 ± 0.001,0.316 ± 0.173,2.230 ± 0.152,1.533 ± 0.736,0.719 ± 0.244,2.513 ± 0.168,0.418 ± 0.497
C2RCC_rhow_5x5_depth_in_0_1,0.184 ± 0.099,2.240 ± 0.063,0.868 ± 0.067,0.014 ± 0.001,0.347 ± 0.120,2.169 ± 0.258,1.400 ± 0.394,0.811 ± 0.216,1.653 ± 0.148,0.255 ± 0.176
C2RCC_rhown_5x5_depth_in_0_1,0.174 ± 0.102,2.237 ± 0.060,0.876 ± 0.073,0.014 ± 0.001,0.345 ± 0.123,2.246 ± 0.237,1.334 ± 0.336,0.786 ± 0.231,1.698 ± 0.145,0.300 ± 0.182
C2X-Complex_rhow_9x9_depth_in_0_1,0.180 ± 0.111,2.172 ± 0.124,0.903 ± 0.078,0.014 ± 0.001,0.348 ± 0.144,2.174 ± 0.220,1.577 ± 0.441,0.753 ± 0.242,1.759 ± 0.129,0.289 ± 0.258
C2X-Complex_rhow_15x15_depth_in_0_1,0.134 ± 0.091,2.178 ± 0.141,0.890 ± 0.092,0.014 ± 0.001,0.291 ± 0.128,2.195 ± 0.293,1.510 ± 0.375,0.732 ± 0.264,1.771 ± 0.126,0.335 ± 0.495
C2RCC_rhow_15x15_depth_in_0_1,0.221 ± 0.117,2.376 ± 0.078,1.001 ± 0.101,0.014 ± 0.001,0.423 ± 0.132,2.330 ± 0.275,1.617 ± 0.499,0.863 ± 0.282,1.804 ± 0.148,0.561 ± 0.479
C2X-Complex_rhow_5x5_depth_in_0_1,0.142 ± 0.094,2.395 ± 0.226,0.970 ± 0.120,0.014 ± 0.001,0.351 ± 0.137,2.510 ± 0.176,1.557 ± 0.496,0.706 ± 0.293,1.750 ± 0.125,0.557 ± 0.775
C2X-Complex_rhown_9x9_depth_in_0_1,0.153 ± 0.115,2.223 ± 0.110,0.949 ± 0.092,0.014 ± 0.001,0.374 ± 0.135,2.261 ± 0.245,1.559 ± 0.403,0.913 ± 0.294,1.771 ± 0.139,0.447 ± 0.506
C2RCC_rhow_9x9_depth_in_0_1,0.211 ± 0.138,2.238 ± 0.081,0.966 ± 0.102,0.014 ± 0.001,0.403 ± 0.148,2.245 ± 0.260,1.673 ± 0.471,0.812 ± 0.258,1.783 ± 0.183,0.447 ± 0.388
C2X-Complex_rhown_15x15_depth_in_0_1,0.155 ± 0.108,2.230 ± 0.113,0.968 ± 0.100,0.014 ± 0.001,0.365 ± 0.120,2.247 ± 0.268,1.516 ± 0.358,0.930 ± 0.261,1.772 ± 0.115,0.641 ± 0.645
